Gen,AvgFit,BestFit 
0,0.018549999999999966,0.835
1,0.5840500000000002,1.48
2,0.8434499999999998,1.645
3,0.9503499999999997,1.82
4,1.0549000000000002,1.9
5,1.1365999999999996,1.985
6,1.2247499999999985,2.095
7,1.3004999999999984,2.16
8,1.3745000000000016,2.27
9,1.4195999999999995,2.315
10,1.4543000000000001,2.345
11,1.499499999999999,2.415
12,1.5350999999999992,2.455
13,1.5734000000000001,2.53
14,1.6010999999999993,2.585
15,1.6400499999999996,2.665
16,1.6708999999999992,2.675
17,1.707400000000001,2.72
18,1.748599999999999,2.805
19,1.7779000000000003,2.815
20,1.8072500000000011,2.83
21,1.839649999999998,2.88
22,1.8733000000000002,2.975
23,1.8960499999999991,3.0
24,1.9173499999999997,3.005
25,1.9471500000000004,3.035
26,1.9765000000000006,3.11
27,1.997549999999999,3.1
28,2.017850000000001,3.145
29,2.0350999999999995,3.175
30,2.0420499999999997,3.19
31,2.051999999999999,3.205
32,2.078750000000001,3.255
33,2.104650000000001,3.33
34,2.12835,3.35
35,2.1449500000000006,3.395
36,2.14815,3.43
37,2.16525,3.44
38,2.18335,3.46
39,2.2000000000000015,3.52
40,2.2366499999999996,3.535
41,2.2541,3.615
42,2.28625,3.625
43,2.311,3.67
44,2.3226,3.7
45,2.3396000000000003,3.715
46,2.357750000000001,3.715
47,2.36355,3.755
48,2.3764000000000003,3.79
49,2.3779999999999992,3.795
50,2.4061000000000003,3.815
51,2.4154999999999998,3.85
52,2.4240500000000003,3.87
53,2.436850000000001,3.905
54,2.4552000000000005,3.93
55,2.4630499999999995,3.945
56,2.476050000000001,3.955
57,2.4925499999999987,3.99
58,2.51485,4.085
59,2.519900000000001,4.08
60,2.5321499999999997,4.1
61,2.54515,4.125
62,2.5568999999999993,4.155
63,2.5699500000000013,4.25
64,2.5816500000000007,4.235
65,2.59955,4.24
66,2.61875,4.305
67,2.6327999999999996,4.31
68,2.6481499999999993,4.29
69,2.6686000000000005,4.32
70,2.6796999999999995,4.37
71,2.6813,4.355
72,2.685150000000001,4.38
73,2.69755,4.41
74,2.7184000000000013,4.455
75,2.724700000000001,4.43
76,2.737049999999999,4.495
77,2.750349999999999,4.525
78,2.7675499999999995,4.545
79,2.7699000000000003,4.585
80,2.7831500000000005,4.6
81,2.7885999999999984,4.59
82,2.8015000000000017,4.615
83,2.8120999999999996,4.66
84,2.8364499999999997,4.67
85,2.8482500000000006,4.72
86,2.8522000000000003,4.76
87,2.8617500000000002,4.74
88,2.8703499999999997,4.79
89,2.8844999999999983,4.805
90,2.8979500000000007,4.8
91,2.91315,4.82
92,2.933199999999999,4.87
93,2.9390000000000005,4.88
94,2.9460999999999986,4.875
95,2.9565999999999972,4.92
96,2.9681,4.925
97,2.985799999999998,4.875
98,3.0001000000000007,4.88
99,3.00905,4.915

